ITEMKEYID,ITEMITEM,ITEMTEXT,ITEMSUPPLIERNO,STOONSTOCK,STOMAXCOUNT,STOMINCOUNT,STOPLACEMENT
10353,S-06808,SCREW MONO AXIAL 4.0MMX25MM XIA3 TI,482304025,5,6,1,XIA CART/DRAWER 4/ROW 2
10354,S-06809,SCREW MONO AXIAL 4.0MMX30MM XIA3 TI,482304030,8,7,1,XIA CART/DRAWER 4/ROW 2
10355,S-06810,SCREW MONO AXIAL 4.0MMX35MM XIA3 TI,482304035,10,2,1,XIA CART/DRAWER 4/ROW 2
10357,S-06811,SCREW MONO AXIAL 4.0MMX40MM XIA3 TI,482304040,4,2,1,XIA CART/DRAWER 4/ROW 2
10360,S-06814,SCREW MONO AXIAL 4.5MMX25MM XIA3 TI,482304525,5,8,1,XIA CART/DRAWER 2/ROW 1
10361,S-06815,SCREW MONO AXIAL 4.5MMX30MM XIA3 TI,482304530,3,8,1,XIA CART/DRAWER 2/ROW 1
10362,S-06816,SCREW MONO AXIAL 4.5MMX35MM XIA3 TI,482304535,6,8,1,XIA CART/DRAWER 2/ROW 1
10363,S-06817,SCREW MONO AXIAL 4.5MMX40MM XIA3 TI,482304540,7,8,1,XIA CART/DRAWER 2/ROW 1
10366,S-06820,SCREW MONO AXIAL 5.0MMX30MM XIA3 TI,482305030,6,8,1,XIA CART/DRAWER 2/ROW 2
10367,S-06821,SCREW MONO AXIAL 5.0MMX35MM XIA3 TI,482305035,1,8,1,XIA CART/DRAWER 2/ROW 2
10368,S-06822,SCREW MONO AXIAL 5.0MMX40MM XIA3 TI,482305040,8,8,1,XIA CART/DRAWER 2/ROW 2
10369,S-06823,SCREW MONO AXIAL 5.0MMX45MM XIA3 TI,482305045,8,2,1,XIA CART/DRAWER 2/ROW 2
9125,S-05609,SCREW MONO AXIAL 5.5MMX30MM XIA3,482305530,1,8,1,XIA CART/DRAWER 2/ROW 2
9126,S-05610,SCREW MONO AXIAL 5.5MMX35MM XIA3 ,482305535,2,8,1,XIA CART/DRAWER 2/ROW 3
9127,S-05611,SCREW MONO AXIAL 5.5MMX40MM XIA3 ,482305540,6,8,1,XIA CART/DRAWER 2/ROW 3
9129,S-05613,SCREW MONO AXIAL 5.5MMX45MM XIA3 ,482305545,9,8,1,XIA CART/DRAWER 2/ROW 3
9132,S-05616,SCREW MONO AXIAL 6.5MMX30MM XIA3 ,482306530,7,8,1,XIA CART/DRAWER 2/ROW 4
9133,S-05617,SCREW MONO AXIAL 6.5MMX35MM XIA3 ,482306535,6,8,1,XIA CART/DRAWER 2/ROW 4
9134,S-05618,SCREW MONO AXIAL 6.5MMX40MM XIA3 ,482306540,3,8,1,XIA CART/DRAWER 2/ROW 4
9135,S-05619,SCREW MONO AXIAL 6.5MMX45MM XIA3 ,482306545,6,8,1,XIA CART/DRAWER 2/ROW 4
10371,S-06825,SCREW POLY AXIAL 4.0MMX20MM XIA3 TI,482314020,5,2,1,XIA CART/DRAWER 4/ROW 1
10372,S-06826,SCREW POLY AXIAL 4.0MMX25MM XIA3 TI,482314025,6,2,1,XIA CART/DRAWER 4/ROW 1
10373,S-06827,SCREW POLY AXIAL 4.0MMX30MM XIA3 TI,482314030,3,8,1,XIA CART/DRAWER 4/ROW 1
10378,S-06832,SCREW POLY AXIAL 4.5MMX25MM XIA3 TI,482314525,7,8,1,XIA CART/DRAWER 3/ROW 1
10379,S-06833,SCREW POLY AXIAL 4.5MMX30MM XIA3 TI,482314530,9,8,1,XIA CART/DRAWER 3/ROW 1
10380,S-06834,SCREW POLY AXIAL 4.5MMX35MM XIA3 TI,482314535,11,8,1,XIA CART/DRAWER 3/ROW 1
10381,S-06835,SCREW POLY AXIAL 4.5MMX40MM XIA3 TI,482314540,9,8,1,XIA CART/DRAWER 3/ROW 1
10383,S-06837,SCREW POLY AXIAL 5.0MMX25MM XIA3 TI,482315025,5,4,1,XIA CART/DRAWER 5/ROW 1
10384,S-06838,SCREW POLY AXIAL 5.0MMX30MM XIA3 TI,482315030,8,8,1,XIA CART/DRAWER 3/ROW 2
10385,S-06839,SCREW POLY AXIAL 5.0MMX35MM XIA3 TI,482315035,11,8,1,XIA CART/DRAWER 3/ROW 2
10386,S-06840,SCREW POLY AXIAL 5.0MMX40MM XIA3 TI,482315040,12,8,1,XIA CART/DRAWER 3/ROW 2
9144,S-05628,SCREW POLY AXIAL 5.5MMX25MM XIA3 ,482315525,7,2,1,XIA CART/DRAWER 4/ROW 1
9145,S-05629,SCREW POLY AXIAL 5.5MMX30MM XIA3,482315530,8,8,1,XIA CART/DRAWER 3/ROW 3
9146,S-05630,SCREW POLY AXIAL 5.5MMX35MM XIA3 ,482315535,6,8,1,XIA CART/DRAWER 3/ROW 3
9147,S-05631,SCREW POLY AXIAL 5.5MMX40MM XIA3 ,482315540,8,8,1,XIA CART/DRAWER 3/ROW 3
9148,S-05632,SCREW POLY AXIAL 5.5MMX45MM XIA3 ,482315545,8,8,1,XIA CART/DRAWER 3/ROW 3
9151,S-05635,SCREW POLY AXIAL 6.5MMX30MM XIA3 ,482316530,8,8,1,XIA CART/DRAWER 3/ROW 4
9152,S-05636,SCREW POLY AXIAL 6.5MMX35MM XIA3 ,482316535,8,8,1,XIA CART/DRAWER 3/ROW 4
9153,S-05637,SCREW POLY AXIAL 6.5MMX40MM XIA3 ,482316540,5,8,1,XIA CART/DRAWER 3/ROW 4
9154,S-05638,SCREW POLY AXIAL 6.5MMX45MM XIA3 ,482316545,8,8,1,XIA CART/DRAWER 3/ROW 4
